"이수구분","수강
인원","허용
인원","수강
정원","공개
여부","비공개사유","과목명","분반","학점","시간","담당교수","강의언어
(Language)","교양영역
구분","교양영역
상세구분","상대/절대
평가구분","인증
구분","수강대상","설강
여부","강의실","시간","학과","수업
시간","강의계획서","강의계획서여부"
"교양","67","70","70","공개","","경영과창업의이해","1","3","3","안성은","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 3호관 403-1 ","월 1-A,월 1-B,월 2-A,월 2-B,수 1-A,수 1-B","소프트웨어공 3,토목/환경/자원.에너지공학부(환경공학) 4","50분","강의계획서","Y"
"교양","65","65","65","공개","","경영과창업의이해","2","3","3","박명은","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:상과대학 1호관 122 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","전기공 3,전자공학부 3","50분","강의계획서","Y"
"교양","68","70","70","공개","","경영과창업의이해","3","3","3","이주열","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 3호관 408 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","전자공학부 3","50분","강의계획서","Y"
"교양","69","70","70","공개","","경영과창업의이해","4","3","3","임인섭","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 1호관 149 ","수 4-A,수 4-B,금 3-A,금 3-B,금 4-A,금 4-B","전자공학부 3","50분","강의계획서","Y"
"교양","68","70","70","공개","","경영과창업의이해","5","3","3","이은영","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:상과대학 2호관 109 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","토목/환경/자원.에너지공학부(토목공학) 1","50분","강의계획서","Y"
"교양","66","70","70","공개","","경영과창업의이해","6","3","3","박명은","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 6호관 309 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","화학공학부 3","50분","강의계획서","Y"
"교양","70","70","70","공개","","경영과창업의이해","7","3","3","임인섭","한국어","핵심교양","사회","상대평가Ⅰ","공학","전체(학부)","일반","전주:공과대학 6호관 310 ","수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B","화학공학부 3,융합기술공학부(IT응용시스템공학) 3","50분","강의계획서","Y"
"교양","68","70","70","공개","","경영과창업의이해","8","3","3","안성은","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:공과대학 2호관 418 ","수 7-A,수 7-B,금 6-A,금 6-B,금 7-A,금 7-B","신소재(전자재료) 3,토목/환경/자원.에너지공학부(자원.에너지공학) 3","50분","강의계획서","Y"
"교양","60","70","70","공개","","경영과창업의이해","9","3","3","김미옥","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:상과대학 2호관 109 ","월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B","","50분","강의계획서","Y"
"교양","70","70","70","공개","","경영과창업의이해","10","3","3","이은영","한국어","핵심교양","사회","상대평가Ⅰ","일반","전체(학부)","일반","전주:인문대학1호관 405 ","화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B","","50분","강의계획서","Y"
